AIRFLOW (cfm)|VELOCITY (fpm)|ROUND DUCT DIAMETER (inch)|RECTANGULAR DUCT (inch x inch)
60 | 438 | 6 | 6x4
100 | 496 | 8 | 6x6, 8x4
120 | 519 | 8 | 6x6, 10x4
150 | 150 | 8 | 8x8, 12x4
200 | 200 | 8 | 8x8, 10x6, 16x4
260 | 626 | 10 | 8x8, 12x6
300 | 648 | 10 | 10x8, 14x6
360 | 677 | 10 | 10x10, 12x8, 16x6
400 | 695 | 12 | 10x10, 12x8, 16x6
460 | 719 | 12 | 10x10, 14x8, 18x6
500 | 734 | 12 | 12x10, 14x8, 20x6
560 | 754 | 12 | 12x10, 16x8, 22x6
600 | 767 | 12 | 12x12, 14x10, 16x8, 24x6
660 | 785 | 14 | 12x12, 14x10, 18x8
700 | 796 | 14 | 12x12, 14x10, 18x8
760 | 812 | 14 | 12x12, 16x10, 20x8
800 | 822 | 14 | 14x12, 16x10, 20x8
860 | 837 | 14 | 14x12, 16x10, 22x8
900 | 846 | 14 | 14x12, 18x10, 22x8
960 | 860 | 16 | 14x14, 16x12, 18x10, 24x8
1000 | 868 | 16 | 14x14, 16x12, 20x10, 24x8
1200 | 908 | 16 | 16x14, 18x12, 22x10, 28x8
1400 | 942 | 18 | 16x16, 18x14, 20x12, 24x10
1600 | 973 | 18 | 16x16, 20x14, 22x12, 28x10
2000 | 1028 | 20 | 18x18, 20x16, 22x14, 26x12, 34x10
2400 | 1074 | 22 | 20x18, 22x16, 26x14, 32x12
2800 | 1115 | 22 | 20x20, 22x18, 26x16, 30x14
3000 | 1134 | 24 | 22x20, 24x18, 26x16, 32x14
