DRY BULB TEMPERATURE (F)|RELATIVE HUMIDITY (%)|DEW POINT TEMPERATURE  (F)|WET BULB TEMPERATURE (F)|HUMIDITY RATIO (LB/LB)|ENTHALPY (BTU/LB OF DRY AIR)|SPECIFIC VOLUME (CU FT/LB OF DRY AIR)
60|20|20.3|43.4|0.0022|16.77|13.15
60|25|25.0|44.6|0.0027|17.36|13.16
60|30|28.9|45.8|0.0033|17.96|13.17
60|35|32.3|46.9|0.0038|18.55|13.18
60|40|35.6|48.0|0.0044|19.15|13.19
60|45|38.6|49.1|0.0049|19.75|13.2
60|50|41.4|50.2|0.0055|20.35|13.21
60|55|43.9|51.3|0.006|20.95|13.22
60|60|46.1|52.3|0.0066|21.55|13.24
60|70|50.3|54.4|0.0077|22.76|13.26
65|20|46.7|48.1|0.0026|18.43|13.28
65|25|28.8|49.4|0.0033|19.14|13.29
65|30|32.8|50.7|0.0039|19.86|13.31
65|35|36.7|51.9|0.0046|20.57|13.32
65|40|40.2|53.1|0.0052|21.29|13.33
65|45|43.2|54.3|0.0059|22.0|13.35
65|50|46.0|55.5|0.0065|22.72|13.36
65|55|48.5|56.7|0.0072|23.44|13.38
65|60|50.9|58.9|0.0079|24.17|13.39
70|20|27.7|50.0|0.0031|20.17|13.42
70|25|32.6|51.5|0.0039|21.02|13.43
70|30|37.2|53.0|0.0047|21.87|13.45
70|35|41.2|54.4|0.0054|22.73|13.47
70|40|44.7|55.8|0.0062|23.58|13.48
70|45|47.8|57.1|0.007|24.44|13.5
70|50|50.6|58.5|0.0078|25.3|13.52
70|55|53.2|59.7|0.0086|26.16|13.53
70|60|55.6|61.0|0.0094|27.02|13.55
70|70|59.8|63.4|0.011|28.76|13.58
75|20|31.4|53.2|0.0037|22.01|13.55
75|25|36.8|54.9|0.0046|23.01|13.57
75|30|41.5|56.5|0.0055|24.03|13.59
75|35|45.6|58.1|0.0064|25.04|13.61
75|40|49.1|59.6|0.0074|26.06|13.63
75|45|52.3|61.1|0.0083|27.08|13.66
75|50|55.2|62.6|0.0092|28.1|13.68
75|55|57.8|64.0|0.0102|29.13|13.7
75|60|60.2|65.3|0.0111|30.16|13.72
75|70|64.6|67.9|0.0013|32.23|13.76
80|20|35.4|56.4|0.0043|23.94|13.7
80|25|41.1|58.3|0.0054|25.14|13.72
80|30|45.9|60.1|0.0065|26.34|13.74
80|35|50.0|61.8|0.0076|27.54|13.77
80|40|53.6|63.5|0.0087|28.75|13.79
80|45|56.8|65.1|0.0098|29.96|13.82
80|50|59.8|66.7|0.0109|31.18|13.84
80|55|62.4|68.2|0.012|32.4|13.86
80|60|64.9|69.6|0.0132|33.62|13.89
80|70|69.4|72.5|0.0154|36.09|13.94
