DRY BULB TEMPERATURE (F)|RELATIVE HUMIDITY (%)|DEW POINT TEMPERATURE  (F)|WET BULB TEMPERATURE (F)|HUMIDITY RATIO (LB/LB)|ENTHALPY (BTU/LB OF DRY AIR)|SPECIFIC VOLUME (CU FT/LB OF DRY AIR)
40|20|5.3|29.4|0.0010|10.71|12.62
40|25|9.7|30.1|0.0013|10.99|12.62
40|30|13.4|30.8|0.0016|11.27|12.63
40|35|16.5|31.5|0.0018|11.55|12.63
40|40|19.3|32.2|0.0021|11.83|12.64
40|45|21.7|32.9|0.0023|12.11|12.64
40|50|23.9|33.6|0.0026|12.39|12.65
40|55|26.0|34.3|0.0029|12.67|12.65
40|60|27.8|34.9|0.0031|12.95|12.66
40|70|31.2|36.2|0.0036|13.51|12.67
40|80|34.3|37.5|0.0042|14.08|12.68
40|90|37.3|38.8|0.0047|14.64|12.69
40|100|40.0|40.0|0.0052|15.20|12.70
50|20|12.9|36.5|0.0015|13.64|12.88
50|25|17.4|37.5|0.0019|14.05|12.89
50|30|21.2|38.4|0.0023|14.46|12.90
50|35|24.4|39.3|0.0027|14.87|12.90
50|40|27.3|40.2|0.0030|15.28|12.91
50|45|29.8|41.1|0.0034|15.69|12.92
50|50|32.1|42.0|0.0038|16.11|12.93
50|55|34.5|42.8|0.0042|16.52|12.94
50|60|36.7|43.7|0.0046|16.93|12.94
50|70|40.7|45.3|0.0053|17.76|12.96
50|80|44.1|46.9|0.0061|18.60|12.97
50|90|47.2|48.5|0.0069|19.43|12.99
50|100|50.0|50.0|0.0076|20.27|13.01
60|20|20.3|43.4|0.0022|16.77|13.15
60|25|25.0|44.6|0.0027|17.36|13.16
60|30|28.9|45.8|0.0033|17.96|13.17
60|35|32.3|46.9|0.0038|18.55|13.18
60|40|35.6|48.0|0.0044|19.15|13.19
60|45|38.6|49.1|0.0049|19.75|13.20
60|50|41.4|50.2|0.0055|20.35|13.21
60|55|43.9|51.3|0.0060|20.95|13.22
60|60|46.1|52.3|0.0066|21.55|13.24
60|70|50.3|54.4|0.0077|22.76|13.26
60|80|53.9|56.3|0.0088|23.97|13.29
60|90|57.1|58.2|0.0099|25.19|13.31
60|100|60.0|60.0|0.0110|26.41|13.33
65|20|46.7|46.7|0.0026|18.43|13.28
65|25|28.8|48.1|0.0033|19.14|13.29
65|30|32.8|49.4|0.0039|19.86|13.31
65|35|36.7|50.7|0.0046|20.57|13.32
65|40|40.2|51.9|0.0052|21.29|13.33
65|45|43.2|53.1|0.0059|22.00|13.35
65|50|46.0|54.3|0.0065|22.72|13.36
65|55|48.5|55.5|0.0072|23.44|13.38
65|60|50.9|56.7|0.0079|24.17|13.39
65|70|55.1|58.9|0.0092|25.61|13.42
65|80|58.7|61.0|0.0105|27.07|13.45
65|90|62.0|63.0|0.0119|28.53|13.48
65|100|65.0|65.0|0.0132|30.00|13.51
70|20|27.7|50.0|0.0031|20.17|13.42
70|25|32.6|51.5|0.0039|21.02|13.43
70|30|37.2|53.0|0.0047|21.87|13.45
70|35|41.2|54.4|0.0054|22.73|13.47
70|40|44.7|55.8|0.0062|23.58|13.48
70|45|47.8|57.1|0.0070|24.44|13.50
70|50|50.6|58.5|0.0078|25.30|13.52
70|55|53.2|59.7|0.0086|26.16|13.53
70|60|55.6|61.0|0.0094|27.02|13.55
70|70|59.8|63.4|0.0110|28.76|13.58
70|80|63.6|65.7|0.0126|30.50|13.62
70|90|67.0|67.9|0.0142|32.26|13.66
70|100|70.0|70.0|0.0158|34.02|13.69
