NOMINAL PIPE SIZE|GATE VALVE FULL OPEN|ANGLE VALVE FULL OPEN|GLOBE VALVE FULL OPEN|SWING CHECK VALVE FULL OPEN|45 DEG ELBOW|LONG SWEEP ELBOW OR RUN OF TEE|STANDARD ELBOW|STANDARD TEE THRU SIDE OUTLET
1/2|0.35|9.0|10.5|11.2|2|3|4|3.3
3/4|0.45|10.1|11.3|12.5|3|4|5|4.2
1|0.55|11.0|12.0|13.3|4|5|6|5.3
1 1/4|0.65|12.5|13.8|14.5|5|6|7|7
1 1/2|0.75|13.2|15.0|16.0|6|7|8|8.1
2|0.85|14.0|16.5|17.5|7|8|9|10.4
2 1/2|0.90|15.5|17.8|19.2|8|9|10|12.4
3|1.00|17.0|19.0|20.0|9|10|11|15.5
4|1.10|19.0|21.0|22.0|11|12|13|20.3
5|1.15|20.5|22.5|23.5|12|13|14|25.4
6|1.20|21.5|23.0|24.0|13|14|15|31
8|4.3|112|224|52|9.4|13.4|20.2|40
